date,time,s-ip,cs-method,cs-uri-stem,cs-uri-query,s-port,cs-username,c-ip,cs(User-Agent),sc-status,sc-substatus,sc-win32-status
2017-07-01,15:59:10,10.0.0.2,POST,/products.html,-,80,-,121.33.205.221,"Mozilla/5.0 (Windows; U; Windows NT 6.1; es-ES) AppleWebKit/533.18.1 (KHTML, like Gecko) Version/5.0 Safari/533.16",200,0,0
2017-07-01,6:05:19,10.0.0.1,POST,/products.html,-,80,-,199.47.111.180,"Mozilla/5.0 Slackware/13.37 (X11; U; Linux x86_64; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/11.0.696.50",200,0,0
2017-07-01,0:55:37,10.0.0.1,GET,/login.html,-,80,-,145.194.168.213,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:24.0) Gecko/20100101 Firefox/24.0,200,0,0
2017-07-01,17:45:53,10.0.0.2,GET,/products.html,-,80,-,131.48.98.40,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.815.10913 Safari/535.1",200,0,0
2017-07-01,15:10:43,10.0.0.1,GET,/login.html,-,80,-,164.164.228.115,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.2 (KHTML, like Gecko) Ubuntu/11.04 Chromium/15.0.871.0 Chrome/15.0.871.0 Safari/535.2",200,0,0
2017-07-01,10:26:31,10.0.0.1,POST,/index.html,-,80,-,255.34.28.10,"Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.107 Safari/535.1",200,0,0
2017-07-01,11:31:34,10.0.0.2,POST,/index.html,-,80,-,200.13.37.32,"Mozilla/5.0 (Windows NT 5.2) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.792.0 Safari/535.1",200,0,0
2017-07-01,2:43:58,10.0.0.2,GET,/index.html,-,80,-,187.162.223.243,Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:16.0.1) Gecko/20121011 Firefox/16.0.1,200,0,0
2017-07-01,4:37:35,10.0.0.1,POST,/login.html,-,80,-,18.230.187.1,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_0; en-US) AppleWebKit/534.21 (KHTML, like Gecko) Chrome/11.0.678.0 Safari/534.21",200,0,0
2017-07-01,15:16:22,10.0.0.2,GET,/products.html,-,80,-,135.135.59.48,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.93 Safari/537.36",200,0,0
2017-07-01,15:43:53,10.0.0.2,POST,/login.html,-,80,-,243.200.10.11,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.14 Safari/534.24",200,0,0
2017-07-01,16:30:48,10.0.0.1,POST,/products.html,-,80,-,28.210.75.216,Googlebot/2.1 (+http://www.googlebot.com/bot.html),200,0,0
2017-07-01,19:50:59,10.0.0.2,GET,/help.html,-,80,-,50.232.58.25,"Mozilla/5.0 (Windows; U; Windows NT 6.1; ja-JP) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.3 Safari/533.19.4",200,0,0
2017-07-01,18:05:49,10.0.0.1,GET,/index.html,-,80,-,164.104.42.228,"Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.66 Safari/535.11",200,0,0
2017-07-01,6:50:43,10.0.0.2,POST,/products.html,-,80,-,84.253.11.133,Mozilla/5.0 (Windows NT 5.1; rv:15.0) Gecko/20100101 Firefox/13.0.1,200,0,0
2017-07-01,8:45:33,10.0.0.2,POST,/products.html,-,80,-,76.10.58.170,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.3 (KHTML, like Gecko) Chrome/19.0.1062.0 Safari/536.3",200,0,0
2017-07-01,4:27:56,10.0.0.1,POST,/index.html,-,80,-,215.77.9.107,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_0) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.861.0 Safari/535.2",200,0,0
2017-07-01,7:22:52,10.0.0.2,POST,/login.html,-,80,-,80.130.187.42,"Mozilla/5.0 (Windows; U; Windows NT 6.1; sv-SE) AppleWebKit/533.19.4 (KHTML, like Gecko) Version/5.0.3 Safari/533.19.4",200,0,0
2017-07-01,19:38:45,10.0.0.2,GET,/index.html,-,80,-,237.81.104.104,Mozilla/5.0 (Windows NT 6.2; WOW64; rv:16.0.1) Gecko/20121011 Firefox/16.0.1,200,0,0
2017-07-01,8:57:45,10.0.0.2,GET,/index.html,-,80,-,210.13.37.33,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/534.25 (KHTML, like Gecko) Chrome/12.0.706.0 Safari/534.25",200,0,0
2017-07-01,2:13:58,10.0.0.2,POST,/index.html,-,80,-,210.13.37.33,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.30 (KHTML, like Gecko) Slackware/Chrome/12.0.742.100 Safari/534.30",200,0,0
2017-07-01,8:13:43,10.0.0.2,POST,/login.html,-,80,-,42.84.133.101,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/534.18 (KHTML, like Gecko) Chrome/11.0.661.0 Safari/534.18",200,0,0
2017-07-01,12:32:22,10.0.0.2,POST,/login.html,-,80,-,243.222.164.124,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_4_11; ja-jp) AppleWebKit/533.16 (KHTML, like Gecko) Version/4.1 Safari/533.16",200,0,0
2017-07-01,16:03:06,10.0.0.2,POST,/login.html,-,80,-,225.119.114.146,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_4_11; ja-jp) AppleWebKit/533.16 (KHTML, like Gecko) Version/4.1 Safari/533.16",200,0,0
2017-07-01,8:31:04,10.0.0.2,GET,/products.html,-,80,-,69.240.44.230,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.3 Safari/534.24",200,0,0
2017-07-01,22:48:41,10.0.0.2,GET,/login.html,-,80,-,125.13.38.152,"Mozilla/5.0 (X11; CrOS i686 1660.57.0) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.46 Safari/535.19",200,0,0
2017-07-01,12:19:27,10.0.0.2,POST,/products.html,-,80,-,243.200.10.6,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.11 (KHTML, like Gecko) Ubuntu/11.10 Chromium/17.0.963.65 Chrome/17.0.963.65 Safari/535.11",200,0,0
2017-07-01,12:48:33,10.0.0.2,POST,/products.html,-,80,-,255.141.181.94,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.53 Safari/534.30",200,0,0
2017-07-01,11:56:56,10.0.0.2,POST,/login.html,-,80,-,133.147.252.91,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:9.0a2) Gecko/20111101 Firefox/9.0a2,200,0,0
2017-07-01,9:11:59,10.0.0.1,GET,/index.html,-,80,-,227.62.1.138,"Mozilla/5.0 (Android 2.2; Windows; U; Windows NT 6.1; en-US) AppleWebKit/533.19.4 (KHTML, like Gecko) Version/5.0.3 Safari/533.19.4",200,0,0
2017-07-01,16:41:47,10.0.0.2,POST,/products.html,-,80,-,71.180.220.23,Mozilla/5.0 (Windows NT 6.3; rv:36.0) Gecko/20100101 Firefox/36.0,200,0,0
2017-07-01,13:09:54,10.0.0.2,GET,/help.html,-,80,-,90.255.1.100,Mozilla/5.0 (Windows; U; Windows NT 5.1; rv:15.0) Gecko/20121011 Firefox/15.0.1,200,0,0
2017-07-01,9:42:28,10.0.0.1,GET,/help.html,-,80,-,23.108.142.112,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_0) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.65 Safari/535.11",200,0,0
2017-07-01,8:15:04,10.0.0.2,POST,/help.html,-,80,-,200.13.37.32,"Mozilla/5.0 (iPad; CPU OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko ) Version/5.1 Mobile/9B176 Safari/7534.48.3",200,0,0
2017-07-01,12:49:50,10.0.0.1,GET,/index.html,-,80,-,183.151.61.135,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Ubuntu/10.04 Chromium/11.0.696.0 Chrome/11.0.696.0 Safari/534.24",200,0,0
2017-07-01,4:46:25,10.0.0.2,GET,/login.html,-,80,-,147.173.47.123,"Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1667.0 Safari/537.36",200,0,0
2017-07-01,7:32:58,10.0.0.1,GET,/products.html,-,80,-,126.82.183.5,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_7; da-dk) AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",200,0,0
2017-07-01,5:33:59,10.0.0.1,POST,/index.html,-,80,-,26.75.163.27,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.53 Safari/534.30",200,0,0
2017-07-01,11:19:08,10.0.0.2,GET,/products.html,-,80,-,35.127.27.137,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_3; el-gr) AppleWebKit/533.16 (KHTML, like Gecko) Version/5.0 Safari/533.16",200,0,0
2017-07-01,6:10:58,10.0.0.2,GET,/login.html,-,80,-,213.95.44.7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.93 Safari/537.36",200,0,0
2017-07-01,9:28:20,10.0.0.1,POST,/help.html,-,80,-,177.209.181.28,"Mozilla/5.0 (Windows NT 6.4; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2225.0 Safari/537.36",200,0,0
2017-07-01,5:59:20,10.0.0.1,POST,/login.html,-,80,-,166.147.230.188,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:24.0) Gecko/20100101 Firefox/24.0,200,0,0
2017-07-01,14:16:59,10.0.0.1,POST,/index.html,-,80,-,120.14.124.59,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6; ja-jp) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27",200,0,0
2017-07-01,6:28:12,10.0.0.1,POST,/login.html,-,80,-,139.11.24.233,"Mozilla/5.0 (Windows; U; Windows NT 5.1; it-IT) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.3 Safari/533.19.4",200,0,0
2017-07-01,11:24:14,10.0.0.2,POST,/help.html,-,80,-,166.22.243.186,"Mozilla/5.0 ArchLinux (X11; Linux x86_64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.41 Safari/535.1",200,0,0
2017-07-01,21:21:01,10.0.0.2,POST,/index.html,-,80,-,147.155.243.219,"Mozilla/5.0 (Windows NT 5.2; WOW64) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/16.0.912.63 Safari/535.7",200,0,0
2017-07-01,11:43:06,10.0.0.2,POST,/help.html,-,80,-,85.129.143.142,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.66 Safari/535.11",200,0,0
2017-07-01,11:33:00,10.0.0.2,POST,/login.html,-,80,-,24.213.137.188,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11",200,0,0
2017-07-01,10:05:06,10.0.0.1,GET,/products.html,-,80,-,74.111.60.192,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/534.25 (KHTML, like Gecko) Chrome/12.0.704.0 Safari/534.25",200,0,0
2017-07-01,10:33:59,10.0.0.2,POST,/index.html,-,80,-,200.13.37.32,"Mozilla/5.0 (X11; CrOS i686 12.433.109) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.93 Safari/534.30",200,0,0
2017-07-01,5:47:04,10.0.0.1,POST,/help.html,-,80,-,149.47.72.229,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20130331 Firefox/21.0,200,0,0
2017-07-01,10:34:53,10.0.0.1,POST,/index.html,-,80,-,129.26.230.80,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.151 Safari/535.19",200,0,0
2017-07-01,1:36:46,10.0.0.1,GET,/index.html,-,80,-,79.142.152.153,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_7; da-dk) AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1",200,0,0
2017-07-01,19:18:37,10.0.0.2,POST,/help.html,-,80,-,20.252.143.100,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1468.0 Safari/537.36",200,0,0
2017-07-01,1:52:13,10.0.0.1,GET,/help.html,-,80,-,135.175.12.14,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20130401 Firefox/21.0,200,0,0
2017-07-01,11:31:53,10.0.0.1,POST,/login.html,-,80,-,128.116.17.65,Mozilla/5.0 (Windows NT 6.1; rv:22.0) Gecko/20130405 Firefox/22.0,200,0,0
2017-07-01,10:25:27,10.0.0.2,POST,/index.html,-,80,-,33.50.119.70,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.66 Safari/535.11",200,0,0
2017-07-01,16:07:21,10.0.0.2,POST,/help.html,-,80,-,154.86.171.225,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_3; en-au) AppleWebKit/533.16 (KHTML, like Gecko) Version/5.0 Safari/533.16",200,0,0
2017-07-01,10:11:33,10.0.0.1,GET,/index.html,-,80,-,142.210.82.150,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.517 Safari/537.36",200,0,0
2017-07-01,14:33:04,10.0.0.1,GET,/products.html,-,80,-,28.187.45.102,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:21.0) Gecko/20100101 Firefox/21.0,200,0,0
2017-07-01,13:36:51,10.0.0.2,GET,/login.html,-,80,-,125.195.152.208,"Mozilla/5.0 (Windows NT 5.2) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.112 Safari/534.30",200,0,0
2017-07-01,18:46:12,10.0.0.2,GET,/index.html,-,80,-,67.137.44.22,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.93 Safari/537.36",200,0,0
2017-07-01,7:30:15,10.0.0.1,GET,/help.html,-,80,-,139.147.195.141,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_7) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.41 Safari/535.1",200,0,0
2017-07-01,22:29:59,10.0.0.2,POST,/help.html,-,80,-,71.228.35.126,"Mozilla/5.0 (Windows; U; Windows NT 5.1; ja-JP) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.3 Safari/533.19.4",200,0,0
2017-07-01,12:10:26,10.0.0.1,POST,/index.html,-,80,-,151.179.168.136,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20120427 Firefox/15.0a1,200,0,0
2017-07-01,9:04:04,10.0.0.2,POST,/login.html,-,80,-,103.132.34.86,"Mozilla/5.0 (Windows; U; Windows NT 6.1; ja-JP) AppleWebKit/533.16 (KHTML, like Gecko) Version/5.0 Safari/533.16",200,0,0
2017-07-01,4:10:28,10.0.0.2,POST,/help.html,-,80,-,200.13.37.32,Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:16.0.1) Gecko/20121011 Firefox/21.0.1,200,0,0
2017-07-01,16:20:04,10.0.0.1,GET,/index.html,-,80,-,38.146.114.204,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.17 (KHTML, like Gecko) Chrome/11.0.655.0 Safari/534.17",200,0,0
2017-07-01,19:17:06,10.0.0.2,POST,/login.html,-,80,-,54.155.3.150,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6; en-US) AppleWebKit/534.20 (KHTML, like Gecko) Chrome/11.0.672.2 Safari/534.20",200,0,0
2017-07-01,17:47:57,10.0.0.1,POST,/index.html,-,80,-,19.86.119.174,Googlebot/2.1 (+http://www.google.com/bot.html),200,0,0
2017-07-01,11:11:39,10.0.0.2,GET,/login.html,-,80,-,49.38.142.188,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.3 Safari/534.24",200,0,0
2017-07-01,4:32:53,10.0.0.1,GET,/help.html,-,80,-,23.153.1.195,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6; it-it) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27",200,0,0
2017-07-01,2:26:42,10.0.0.1,POST,/index.html,-,80,-,227.136.119.166,"Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.3 Safari/533.19.4",200,0,0
2017-07-01,18:25:43,10.0.0.2,POST,/login.html,-,80,-,63.157.100.215,Mozilla/5.0 (Windows NT 6.2; rv:22.0) Gecko/20130405 Firefox/22.0,200,0,0
2017-07-01,5:22:48,10.0.0.2,POST,/help.html,-,80,-,44.191.63.30,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20120427 Firefox/15.0a1,200,0,0
2017-07-01,19:21:59,10.0.0.1,POST,/index.html,-,80,-,213.189.37.29,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.215 Safari/535.1",200,0,0
2017-07-01,3:56:58,10.0.0.1,POST,/help.html,-,80,-,176.224.90.178,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_0) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.0 Safari/534.24",200,0,0
2017-07-01,20:48:59,10.0.0.2,POST,/index.html,-,80,-,163.177.129.31,Mozilla/5.0 (X11; OpenBSD amd64; rv:28.0) Gecko/20100101 Firefox/28.0,200,0,0
2017-07-01,21:05:21,10.0.0.2,POST,/login.html,-,80,-,170.206.8.185,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3 like Mac OS X; fr-fr) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8F190 Safari/6533.18.5",200,0,0
2017-07-01,19:22:16,10.0.0.2,GET,/help.html,-,80,-,175.236.49.28,Mozilla/5.0 (Windows x86; rv:19.0) Gecko/20100101 Firefox/19.0,200,0,0
2017-07-01,18:11:43,10.0.0.2,POST,/login.html,-,80,-,243.200.10.2,Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:27.0) Gecko/20121011 Firefox/27.0,200,0,0
2017-07-01,14:18:17,10.0.0.2,POST,/index.html,-,80,-,200.13.37.32,"Mozilla/5.0 (Android 2.2; Windows; U; Windows NT 6.1; en-US) AppleWebKit/533.19.4 (KHTML, like Gecko) Version/5.0.3 Safari/533.19.4",200,0,0
2017-07-01,5:48:22,10.0.0.2,POST,/help.html,-,80,-,77.162.212.127,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_4_11; ja-jp) AppleWebKit/533.16 (KHTML, like Gecko) Version/4.1 Safari/533.16",200,0,0
2017-07-01,1:57:07,10.0.0.1,GET,/products.html,-,80,-,122.107.69.226,"Mozilla/5.0 (Windows NT) AppleWebKit/534.20 (KHTML, like Gecko) Chrome/11.0.672.2 Safari/534.20",200,0,0
2017-07-01,14:12:41,10.0.0.1,GET,/products.html,-,80,-,79.235.198.177,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.6 (KHTML, like Gecko) Chrome/20.0.1092.0 Safari/536.6",200,0,0
2017-07-01,5:12:47,10.0.0.1,POST,/login.html,-,80,-,123.133.141.99,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_5; de-de) AppleWebKit/534.15+ (KHTML, like Gecko) Version/5.0.3 Safari/533.19.4",200,0,0
2017-07-01,22:34:52,10.0.0.2,POST,/help.html,-,80,-,210.13.37.33,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_8; zh-tw) AppleWebKit/533.16 (KHTML, like Gecko) Version/5.0 Safari/533.16",200,0,0
2017-07-01,22:25:22,10.0.0.1,GET,/login.html,-,80,-,215.86.116.47,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6; de-de) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27",200,0,0
2017-07-01,7:40:47,10.0.0.1,GET,/help.html,-,80,-,45.85.70.16,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.9 Safari/536.5",200,0,0
2017-07-01,15:33:38,10.0.0.2,POST,/login.html,-,80,-,18.158.40.55,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.186 Safari/535.1",200,0,0
2017-07-01,8:54:07,10.0.0.1,POST,/help.html,-,80,-,168.216.117.138,"Mozilla/5.0 (Windows NT 5.2) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.813.0 Safari/535.1",200,0,0
2017-07-01,17:13:19,10.0.0.2,POST,/index.html,-,80,-,200.13.37.185,Mozilla/5.0 (Windows NT 5.1; rv:21.0) Gecko/20130401 Firefox/21.0,200,0,0
2017-07-01,16:05:07,10.0.0.2,POST,/help.html,-,80,-,200.13.37.182,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.66 Safari/535.11",200,0,0
2017-07-01,0:29:20,10.0.0.2,POST,/index.html,-,80,-,212.201.233.204,Mozilla/5.0 (Windows NT 5.1; rv:21.0) Gecko/20130331 Firefox/21.0,200,0,0
2017-07-01,17:30:51,10.0.0.2,GET,/products.html,-,80,-,200.13.37.19,"Mozilla/5.0 (Windows NT 7.1) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.112 Safari/534.30",200,0,0
2017-07-01,18:26:35,10.0.0.1,POST,/index.html,-,80,-,254.122.50.70,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.41 Safari/535.1",200,0,0
2017-07-01,7:15:08,10.0.0.1,GET,/help.html,-,80,-,42.232.146.126,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_8; zh-cn) AppleWebKit/533.18.1 (KHTML, like Gecko) Version/5.0.2 Safari/533.18.5",200,0,0
2017-07-01,12:21:33,10.0.0.1,POST,/login.html,-,80,-,90.255.1.100,Mozilla/5.0 (Windows NT 6.2; rv:22.0) Gecko/20130405 Firefox/22.0,200,0,0
2017-07-01,22:16:19,10.0.0.1,GET,/login.html,-,80,-,243.222.176.160,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_0) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.100 Safari/534.30",200,0,0
2017-07-01,0:38:00,10.0.0.1,POST,/index.html,-,80,-,107.204.56.195,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_3; en-us) AppleWebKit/534.1+ (KHTML, like Gecko) Version/5.0 Safari/533.16",200,0,0
2017-07-01,5:06:38,10.0.0.1,POST,/products.html,-,80,-,210.13.37.33,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.66 Safari/535.11",200,0,0
2017-07-01,20:58:18,10.0.0.2,GET,/index.html,-,80,-,42.189.226.38,"Mozilla/4.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/11.0.1245.0 Safari/537.36",200,0,0
2017-07-01,19:30:38,10.0.0.1,POST,/login.html,-,80,-,103.125.212.68,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.21 (KHTML, like Gecko) Chrome/19.0.1042.0 Safari/535.21",200,0,0
2017-07-01,11:37:05,10.0.0.1,GET,/login.html,-,80,-,145.195.79.115,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_3; HTC-P715a; en-ca) AppleWebKit/533.16 (KHTML, like Gecko) Version/5.0 Safari/533.16",200,0,0
